"variable","scenario_id"
"summary_segments_summary_intensity_q50","S1"
"summary_segments_lengt_max","S1"
"summary_segments_summary_intensity_min","S1"
"summary_segments_summary_intensity_max","S1"
"summary_segments_dynamics_max","S1"
"border_segments_first_lengt","S1"
"border_segments_last_dynamics","S1"
"summary_segments_summary_intensity_q75","S1"
"summary_segments_variability_max","S1"
"border_segments_first_dynamics","S1"
"protoforms_extended_Most_dynamics_decreasing_trends_are_time_middle","S2"
"protoforms_extended_Most_time_beginning_trends_are_dynamics_constant","S2"
"protoforms_extended_Most_duration_long_trends_are_time_middle","S2"
"protoforms_extended_Most_variability_high_trends_are_time_middle","S2"
"protoforms_extended_Most_variability_high_trends_are_time_ending","S2"
"protoforms_extended_Most_time_beginning_trends_are_dynamics_decreasing","S2"
"protoforms_extended_Most_time_beginning_trends_are_dynamics_increasing","S2"
"protoforms_extended_Most_time_ending_trends_are_variability_low","S2"
"protoforms_extended_Most_duration_long_trends_are_time_ending","S2"
"protoforms_short_Most_trends_are_time_middle","S2"
"summary_segments_summary_intensity_q50","S3"
"summary_segments_lengt_max","S3"
"summary_segments_summary_intensity_min","S3"
"summary_segments_summary_intensity_max","S3"
"summary_segments_dynamics_max","S3"
"protoforms_extended_Most_dynamics_decreasing_trends_are_time_middle","S3"
"protoforms_extended_Most_time_beginning_trends_are_dynamics_constant","S3"
"protoforms_extended_Most_duration_long_trends_are_time_middle","S3"
"protoforms_extended_Most_variability_high_trends_are_time_middle","S3"
"protoforms_extended_Most_variability_high_trends_are_time_ending","S3"
